PortfolioManager,SecurityType,Elbow,Currency,Net Amount,Quantity
S598958A,CB,2,USD,96253.72,1980.00
S598958A,CB,2,USD,62220.88,5905.00
S598958A,CB,2,USD,643898.01,13995.00
S598958A,CB,2,USD,110979.45,2694.00
S598958A,CB,2,USD,106980.52,5839.00
S598958A,CB,2,USD,63249.19,7629.00
S598958A,CB,2,USD,120780.91,3133.00
S598958A,CB,2,USD,390222.00,2875.00
S598958A,CB,2,USD,49530.57,3633.00
S598958A,CB,2,USD,713454.54,30471.00
S598958A,CB,2,USD,100478.67,1609.00
S598958A,CB,2,USD,529995.55,6737.00
S598958A,CB,2,USD,702209.29,1251.00
S598958A,CB,2,USD,287054.43,13751.00
S598958A,CB,2,USD,151645.92,2821.00
S598958A,CB,2,USD,177379.77,7139.00
S598958A,CB,2,USD,401245.18,4156.00
S598958A,CB,2,USD,522369.16,15726.00
S598958A,CB,2,USD,163650.54,9357.00
S598958A,CB,2,USD,623721.38,7781.00
S598958A,CB,2,USD,314712.76,24668.00
S598958A,CB,2,USD,74014.67,1427.00
S598958A,CB,2,USD,198437.48,8917.00
S598958A,CB,2,USD,39318.26,6586.00
S598958A,CB,2,USD,249735.54,9535.00
S598958A,CB,2,USD,27230.38,2344.00
S598958A,CB,2,USD,93600.61,4892.00
S598958A,CB,2,USD,325061.17,9314.00
S598958A,CB,2,USD,199299.02,5930.00
S598958A,CB,2,USD,238177.77,2110.00
S598958A,CB,2,USD,633051.06,12173.00
S598958A,CB,2,USD,220805.18,3597.00
S598958A,CB,2,USD,122995.59,10280.00
S598958A,CB,2,USD,901518.84,20611.00
S598958A,CB,2,USD,280640.59,1935.00
S598958A,CB,2,USD,73259.23,2854.00
S598958A,CB,2,USD,99311.28,8320.00
S598958A,CB,2,USD,257218.66,8805.00
S598958A,CB,2,USD,656555.89,3232.00
S598958A,CB,2,USD,239599.05,11258.00
S598958A,CB,2,USD,77197.55,2069.00
S598958A,CB,2,USD,658587.48,7780.00
S598958A,CB,2,USD,23992.35,1272.00
S598958A,CB,2,USD,631511.10,6322.00
S598958A,CB,2,USD,255817.52,538.00
S598958A,CB,2,USD,97074.33,2763.00
S598958A,CB,2,USD,95646.39,4673.00
S598958A,CB,2,USD,110895.74,3418.00
S598958A,CB,2,USD,333417.48,1836.00
S598958A,CB,2,USD,362146.13,953.00
S598958A,CB,2,USD,79742.16,3376.00
S598958A,CB,2,USD,660582.24,3229.00
S598958A,CB,2,USD,288380.58,4054.00
S598958A,CB,2,USD,293145.06,10903.00
S598958A,CB,2,USD,111000.01,3408.00
S598958A,CB,2,USD,583542.44,3969.00
S598958A,CB,2,USD,509711.21,8416.00
S598958A,CB,2,USD,136141.38,4721.00
S598958A,CB,2,USD,223143.75,4412.00
S598958A,CB,2,USD,46323.49,5329.00
S598958A,CB,2,USD,688834.93,4308.00
S598958A,CB,2,USD,8805.78,2187.00
S598958A,CB,2,USD,150787.85,3260.00
S598958A,CB,2,USD,123045.45,600.00
S598958A,CB,2,USD,713560.09,9465.00
S598958A,CB,2,USD,46629.55,7353.00
S598958A,CB,2,USD,260864.29,2505.00
S598958A,CB,2,USD,101716.71,4958.00
S598958A,CB,2,USD,111260.60,23766.00
S598958A,CB,2,USD,221294.78,3845.00
S598958A,CB,2,USD,215425.37,1293.00
S598958A,CB,2,USD,94951.02,6781.00
S598958A,CB,2,USD,84500.33,4690.00
S598958A,CB,2,USD,118210.93,822.00
S598958A,CB,2,USD,1068836.25,3647.00
S598958A,CB,2,USD,261918.42,2913.00
S598958A,CB,2,USD,320132.64,3722.00
S598958A,CB,2,USD,104950.23,24343.00
S598958A,CB,2,USD,316333.87,3420.00
S598958A,CB,2,USD,274249.28,2940.00
S598958A,CB,2,USD,271034.38,3850.00
S598958A,CB,2,USD,144311.17,8852.00
S598958A,CB,2,USD,188104.61,3103.00
S598958A,CB,2,USD,137937.17,6509.00
S598958A,CB,2,USD,415445.65,7623.00
S598958A,CB,2,USD,959118.97,10324.00
S598958A,CB,2,USD,44763.84,2445.00
S598958A,CB,2,USD,262581.35,3401.00
S598958A,CB,2,USD,986570.74,22458.00
